,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hilo,90,US,1604374005,78,19.73,-155.09,80.6,6.15
1,Port Elizabeth,0,ZA,1604373709,93,-33.92,25.57,64.4,14.99
2,Ribeira Grande,80,PT,1604374005,65,38.52,-28.7,62.28,15.08
3,Aklavik,100,CA,1604373717,84,68.22,-135.01,-0.4,3.36
4,Porto-Novo,20,BJ,1604374005,88,6.5,2.6,78.8,1.12
5,Río Gallegos,40,AR,1604374006,66,-51.62,-69.22,53.6,6.93
6,Mapiri,88,BO,1604374006,59,-15.25,-68.17,69.48,1.21
7,Vaini,75,TO,1604374006,88,-21.2,-175.2,77.0,13.87
8,Qaanaaq,100,GL,1604374006,81,77.48,-69.36,9.45,5.32
9,Hithadhoo,100,MV,1604374006,71,-0.6,73.08,83.37,7.76
10,Rikitea,23,PF,1604374006,79,-23.12,-134.97,71.85,17.18
11,East London,40,ZA,1604374007,93,-33.02,27.91,64.4,3.36
12,Busselton,74,AU,1604374007,74,-33.65,115.33,64.0,4.0
13,Kaitangata,0,NZ,1604374007,69,-46.28,169.85,62.01,7.0
14,Mataura,0,NZ,1604374007,60,-46.19,168.86,62.01,11.01
15,Sandūr,0,IN,1604374007,68,15.1,76.55,75.47,5.91
16,Nhulunbuy,75,AU,1604374007,46,-12.23,136.77,91.4,13.87
17,Provideniya,75,RU,1604374007,68,64.38,-173.3,28.4,4.47
18,Manono,89,CD,1604374007,96,-7.3,27.42,68.76,1.95
19,Cape Town,0,ZA,1604374008,87,-33.93,18.42,64.0,5.82
20,Lüderitz,9,NA,1604374008,92,-26.65,15.16,58.1,9.69
21,Fairbanks,1,US,1604373838,75,64.84,-147.72,-11.0,1.32
22,Casablanca,40,MA,1604373796,93,33.59,-7.62,62.6,1.12
23,Chernyshevskiy,100,RU,1604374008,97,63.01,112.47,18.73,7.74
24,Māgadi,0,IN,1604374008,69,12.97,77.23,77.0,3.36
25,Khatanga,100,RU,1604374008,95,71.97,102.5,7.86,7.27
26,Nicoya,75,CR,1604373893,100,10.15,-85.45,77.0,3.36
27,Arraial do Cabo,10,BR,1604373863,58,-22.97,-42.03,67.89,2.73
28,Baykit,85,RU,1604373850,94,61.67,96.37,21.25,7.52
29,Chokurdakh,36,RU,1604374009,87,70.63,147.92,-13.11,9.53
30,Puerto Ayora,97,EC,1604374009,96,-0.74,-90.35,69.01,5.01
31,Yellowknife,90,CA,1604373983,85,62.46,-114.35,10.4,9.17
32,Grindavik,75,IS,1604374009,72,63.84,-22.43,39.2,8.05
33,Jacareacanga,67,BR,1604373880,88,-6.22,-57.75,73.8,0.31
34,Umeå,17,SE,1604374009,100,63.83,20.26,41.0,3.36
35,San Cristobal,99,VE,1604374010,92,7.77,-72.22,67.75,1.92
36,Port-Cartier,100,CA,1604374010,68,50.03,-66.87,26.01,21.92
37,Bredasdorp,97,ZA,1604373797,93,-34.53,20.04,62.6,6.93
38,Port Alfred,5,ZA,1604374010,87,-33.59,26.89,65.28,16.6
39,Avarua,100,CK,1604373726,69,-21.21,-159.78,75.2,22.62
40,Ushuaia,20,AR,1604373970,81,-54.8,-68.3,46.4,4.7
41,Vila Franca do Campo,75,PT,1604374010,67,37.72,-25.43,60.8,9.17
42,Butaritari,1,KI,1604373785,75,3.07,172.79,81.03,16.84
43,Punta Arenas,0,CL,1604374011,75,-53.15,-70.92,44.6,4.7
44,Noumea,75,NC,1604374011,65,-22.28,166.46,82.4,10.29
45,Pucallpa,100,PE,1604374011,65,-8.38,-74.55,76.75,1.32
46,Kapaa,20,US,1604374011,74,22.08,-159.32,80.6,9.17
47,Dikson,97,RU,1604374011,94,73.51,80.55,13.32,10.4
48,Rialma,100,BR,1604374011,87,-15.31,-49.58,71.1,1.77
49,Uvat,3,RU,1604374011,98,59.14,68.9,21.16,4.36
50,Honiara,90,SB,1604374012,100,-9.43,159.95,75.2,5.82
51,Yulara,0,AU,1604374012,13,-25.24,130.99,98.6,8.05
52,Evensk,100,RU,1604374012,98,61.95,159.23,27.64,6.4
53,Phan Thiet,79,VN,1604374012,70,10.93,108.1,82.26,3.33
54,Am Timan,67,TD,1604374012,38,11.03,20.28,78.37,6.04
55,Torbay,90,CA,1604374012,87,47.67,-52.73,51.01,18.34
56,Jamestown,20,US,1604373992,55,42.1,-79.24,39.0,24.16
57,Bluff,0,NZ,1604374012,60,-46.6,168.33,62.01,11.01
58,Paraná,0,AR,1604374013,62,-31.73,-60.52,64.99,8.7
59,Mildura,20,AU,1604374013,17,-34.2,142.15,91.99,10.29
60,Ormara,0,PK,1604374013,20,25.21,64.64,75.61,5.19
61,Atuona,3,PF,1604374013,74,-9.8,-139.03,77.81,17.11
62,Ponta do Sol,75,PT,1604374013,73,32.67,-17.1,69.8,12.75
63,Mahébourg,40,MU,1604373849,69,-20.41,57.7,73.4,12.75
64,Ponta Delgada,75,PT,1604374013,67,37.73,-25.67,60.8,9.17
65,New Norfolk,87,AU,1604373786,21,-42.78,147.06,90.0,3.0
66,Juegang,0,CN,1604373886,99,32.32,121.19,62.01,3.0
67,Souillac,40,MU,1604374014,69,-20.52,57.52,73.4,12.75
68,Tocopilla,14,CL,1604374014,58,-22.09,-70.2,61.05,4.59
69,Boa Vista,75,BR,1604374014,78,2.82,-60.67,78.8,4.7
70,Saskylakh,100,RU,1604373744,95,71.92,114.08,10.09,9.13
71,Bengkulu,99,ID,1604373860,80,-3.8,102.27,79.52,1.92
72,Nikolskoye,75,RU,1604374014,81,59.7,30.79,46.4,15.66
73,Caravelas,100,BR,1604373897,71,-17.71,-39.25,72.05,12.73
74,Chui,0,UY,1604374015,92,-33.7,-53.46,56.39,6.15
75,Kasongo-Lunda,100,CD,1604374015,94,-6.47,16.82,69.26,0.4
76,Praia,0,CV,1604374015,54,14.92,-23.51,78.8,10.29
77,Albany,98,US,1604374015,69,42.6,-73.97,37.99,4.0
78,Ullal,75,IN,1604374015,88,12.8,74.85,77.0,4.7
79,Mar del Plata,0,AR,1604374015,93,-38.0,-57.56,60.01,6.93
80,Turbat,0,PK,1604374015,15,26.0,63.04,70.18,5.46
81,Port Hardy,90,CA,1604373903,100,50.7,-127.42,48.2,18.34
82,Esperance,75,AU,1604374016,93,-33.87,121.9,60.8,17.22
83,Paranaguá,75,BR,1604374016,93,-25.52,-48.51,53.6,5.82
84,Lebu,18,CL,1604374016,93,-37.62,-73.65,50.49,10.13
85,Heraclea,0,TR,1604374016,68,37.51,34.05,41.49,2.01
86,Riyadh,0,SA,1604374016,47,24.69,46.72,59.0,3.78
87,Bethel,1,US,1604373760,55,41.37,-73.41,36.0,5.82
88,Anloga,20,GH,1604374017,88,5.79,0.9,77.0,3.36
89,Hervey Bay,0,AU,1604374017,59,-25.3,152.85,77.0,8.99
90,Sambava,97,MG,1604374017,78,-14.27,50.17,70.32,6.4
91,Tirumullaivāsal,18,IN,1604374017,75,11.23,79.83,82.87,6.53
92,Kenai,20,US,1604374017,25,60.55,-151.26,26.01,23.04
93,Castro,63,BR,1604374017,90,-24.79,-50.01,52.12,10.54
94,Athabasca,88,CA,1604374018,75,54.72,-113.29,50.0,3.36
95,Tuatapere,1,NZ,1604373831,60,-46.13,167.68,62.01,11.01
96,Alofi,75,NU,1604374018,78,-19.06,-169.92,78.8,21.92
97,Yarensk,61,RU,1604374018,96,62.17,49.09,29.86,9.42
98,Havøysund,75,NO,1604373727,80,71.0,24.66,39.2,11.41
99,Thinadhoo,84,MV,1604374018,72,0.53,72.93,83.14,6.02
100,Benguela,81,AO,1604374019,83,-12.58,13.41,76.15,3.78
101,Hamilton,1,US,1604374019,41,39.18,-84.53,42.01,8.05
102,Jérémie,100,HT,1604374019,81,18.65,-74.12,77.97,7.36
103,Mitú,95,CO,1604374019,97,1.2,-70.17,73.4,2.06
104,Nioro,40,GM,1604374019,50,13.35,-15.75,76.35,3.69
105,Geraldton,90,AU,1604374019,64,-28.77,114.6,71.6,16.11
106,La Ronge,4,CA,1604374020,90,55.1,-105.28,44.6,3.36
107,Kwinana,90,AU,1604374020,59,-32.25,115.77,69.01,9.17
108,Ambon City,100,ID,1604374020,79,-3.7,128.18,80.06,5.06
109,Clyde River,90,CA,1604373792,85,70.47,-68.59,15.8,5.82
110,San Patricio,1,US,1604374020,76,28.02,-97.52,59.0,3.36
111,Lepa,100,PH,1604374020,68,15.88,120.45,85.96,6.62
112,Tomatlán,0,MX,1604374020,87,19.93,-105.25,73.42,1.72
113,Hermanus,13,ZA,1604374020,83,-34.42,19.23,64.0,4.0
114,Yangi Marg`ilon,0,UZ,1604374021,28,40.43,71.72,44.6,4.7
115,Yanam,20,IN,1604374021,78,16.73,82.22,80.6,5.82
116,Ozerne,25,UA,1604374021,89,50.18,28.73,37.27,2.06
117,Thanh Hoa,81,VN,1604373945,62,19.8,105.77,71.37,10.45
118,Emba,41,KZ,1604374021,61,48.83,58.14,42.33,8.75
